#====================================================================#
# Cross sections computed using SIGMA
#=====================================================================================#
# lambda[micron]   Kabs[cm^2/g]   Ksca[cm^2/g]  Kext[cm^2/g]    albedo    asymmetry_parameter  linear_pol
#=====================================================================================#
   6.4700661801052439E-002   19201.916356532049        12605.087081841688        31807.003438373722       0.39629910771896909       0.81569669516460963       0.46753224999536247     
   6.5345255180784628E-002   19140.186358012765        12541.123429904112        31681.309787916874       0.39585242888812777       0.81560091772783538       0.46755698563546727     
   6.5996270451941536E-002   19078.396080978131        12477.439354012791        31555.835434990910       0.39540830347267863       0.81550658880940952       0.46759036336725945     
   6.6653771593910449E-002   19016.557771668908        12414.031724920720        31430.589496589626       0.39496655722183333       0.81541454877310882       0.46763500701326105     
   6.7317823223486159E-002   18954.673375365321        12350.897043688747        31305.570419054060       0.39452713617290941       0.81532521631135402       0.46769038866322526     
   6.7988490601221307E-002   18892.743995205550        12288.032600885765        31180.776596091291       0.39409001129324495       0.81523694590121121       0.46775083733570094     
   6.8665839637839954E-002   18830.763608408339        12225.437348662073        31056.200957070403       0.39365527565852421       0.81514992643009143       0.46780836967300460     
   6.9349936900714990E-002   18768.724690493440        12163.112218737188        30931.836909230642       0.39322308126833183       0.81506501095520678       0.46785653541103195     
   7.0040849620410212E-002   18706.621240392389        12101.059794916366        30807.681035308757       0.39279359524163188       0.81498105639933571       0.46789095955074333     
   7.0738645697287425E-002   18644.457132262720        12039.283444672228        30683.740576934943       0.39236687634239070       0.81489792573118747       0.46791049698418030     
   7.1443393708179495E-002   18582.236503085118        11977.786184640403        30560.022687725534       0.39194297422597446       0.81481687868448693       0.46791971820275330     
   7.2155162913129775E-002   18519.966859975284        11916.569648575376        30436.536508550656       0.39152186863402172       0.81473747168346067       0.46792630433946208     
   7.2874023262198787E-002   18457.674530085525        11855.633498084291        30313.308028169784       0.39110325692817810       0.81465906843158309       0.46793651581506585     
   7.3600045402338610E-002   18395.365067506962        11794.975467504479        30190.340535011455       0.39068706276518994       0.81458270449188530       0.46795630296935453     
   7.4333300684335801E-002   18333.053942086714        11734.592019640482        30067.645961727190       0.39027305411861402       0.81450825702992657       0.46798883430786675     
   7.5073861169823522E-002   18270.742034508381        11674.479388076496        29945.221422584862       0.38986118096530537       0.81443448629216619       0.46803143256188617     
   7.5821799638363496E-002   18208.429318735729        11614.634663600114        29823.063982335847       0.38945142157356616       0.81436192139527308       0.46807844386163683     
   7.6577189594598444E-002   18146.109352081017        11555.056579671837        29701.165931752857       0.38904387141646118       0.81429082103780459       0.46812322073798945     
   7.7340105275475940E-002   18083.774721184334        11495.745757334711        29579.520478519080       0.38863867876705532       0.81421997174993610       0.46815838874799848     
   7.8110621657544094E-002   18021.419527466147        11436.704340076074        29458.123867542217       0.38823600550737564       0.81414969427038553       0.46817928409412507     
   7.8888814464319973E-002   17959.047501533754        11377.935134309448        29336.982635843215       0.38783590240150201       0.81408083331051873       0.46818665387021136     
   7.9674760173731471E-002   17896.662651580336        11319.440527933310        29216.103179513648       0.38743840882484659       0.81401266756127844       0.46818504292521618     
